ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
180000,02838109,363685
180001,05159822,536468
180002,33828139,1582739
180003,9831829,2522343
180004,06230932,1718326
180005,92019399,2185110
180006,05159822,2306054
180007,67821984,847527
180008,67821984,1085868
180009,05159822,235979
180010,18581928,878821
180011,05159822,2194686
180012,18581928,2329051
180013,01846359,920586
180014,9831829,1523109
180015,67821984,465877
180016,33828139,283116
180017,02838109,2261085
180018,9831829,1059078
180019,06230932,1988926
180020,67821984,345811
180021,67821984,1456926
180022,67821984,1668704
180023,9831829,1125561
180024,18581928,974128
180025,9831829,1905686
180026,9831829,1246791
180027,18539217,486656
180028,02838109,467914
180029,92019399,320483
180030,67821984,20318
180031,9831829,2615707
180032,9831829,1747488
180033,9831829,-1393
180034,92019399,2168379
180035,02838109,2628404
180036,18581928,384900
180037,92019399,1998034
180038,02838109,2674916
180039,02838109,94983
180040,05159822,1593062
180041,33828139,1301914
180042,01846359,537505
180043,67821984,407381
180044,18539217,711982
180045,05159822,171320
180046,06230932,2110771
180047,06230932,2097535
180048,05159822,1446234
180049,02838109,227051
180050,06230932,2782922
180051,05159822,2108277
180052,92019399,473249
180053,67821984,2408417
180054,67821984,1556912
180055,05159822,2678997
180056,02838109,427777
180057,33828139,2602476
180058,33828139,940886
180059,02838109,1386234
180060,67821984,1318456
180061,18581928,2122111
180062,05159822,1676805
180063,18581928,529826
180064,06230932,2945729
180065,01846359,1209141
180066,33828139,842856
180067,18539217,2476949
180068,18539217,1297240
180069,67821984,698761
180070,05159822,2062084
180071,01846359,1497871
180072,67821984,2083026
180073,01846359,1604292
180074,18539217,1874514
180075,06230932,1128709
180076,05159822,1140641
180077,01846359,2739590
180078,9831829,1623406
180079,18581928,1001624
180080,01846359,2783019
180081,01846359,2529533
180082,18539217,2885234
180083,67821984,1632398
180084,92019399,474316
180085,01846359,2052077
180086,33828139,535170
180087,18539217,2820393
180088,92019399,1082399
180089,01846359,1483571
180090,18539217,1774982
180091,02838109,841888
180092,06230932,1329377
180093,92019399,738552
180094,01846359,508037
180095,01846359,1596623
180096,9831829,1092621
180097,02838109,2953056
180098,18539217,2799880
180099,92019399,1546389
180100,92019399,2028598
180101,05159822,259674
180102,06230932,2334695
180103,05159822,1483876
180104,92019399,1975568
180105,02838109,2732974
180106,67821984,2172917
180107,05159822,2188361
180108,02838109,2885065
180109,05159822,186302
180110,05159822,109739
180111,67821984,2961173
180112,02838109,593089
180113,18539217,2406481
180114,01846359,1034398
180115,67821984,2318429
180116,9831829,1074616
180117,02838109,2803076
180118,9831829,2886864
180119,9831829,489860
180120,18581928,1408392
180121,92019399,2363724
180122,02838109,2945015
180123,02838109,2036943
180124,9831829,303073
180125,67821984,1837981
180126,9831829,1991925
180127,9831829,1618507
180128,05159822,2389952
180129,06230932,1337852
180130,18581928,2109135
180131,92019399,1717823
180132,67821984,2009966
180133,18539217,867908
180134,06230932,1605763
180135,33828139,1502553
180136,33828139,2243091
180137,05159822,2723555
180138,18581928,1863193
180139,05159822,542594
180140,18539217,1687238
180141,33828139,1796706
180142,01846359,533176
180143,18581928,173411
180144,92019399,2230901
180145,02838109,502391
180146,33828139,2031925
180147,9831829,62852
180148,92019399,2179228
180149,9831829,1359418
180150,18581928,383531
180151,06230932,1716650
180152,9831829,580957
180153,67821984,1095320
180154,01846359,2127315
180155,9831829,2131817
180156,01846359,2637886
180157,33828139,396155
180158,06230932,1295769
180159,05159822,1952695
180160,67821984,1960184
180161,33828139,955327
180162,06230932,1905243
180163,67821984,2462950
180164,02838109,635301
180165,01846359,2932269
180166,05159822,2904946
180167,18539217,1469696
180168,06230932,862851
180169,92019399,1317284
180170,18539217,771273
180171,02838109,895054
180172,06230932,2897368
180173,92019399,2287476
180174,9831829,-6376
180175,9831829,2402837
180176,18581928,2283693
180177,9831829,2250557
180178,67821984,2877129
180179,92019399,1314381
180180,18581928,153945
180181,9831829,61825
180182,33828139,1451583
180183,01846359,575284
180184,67821984,737931
180185,18581928,2255835
180186,18581928,1841433
180187,9831829,1037960
180188,18539217,2683596
180189,01846359,2196018
180190,9831829,1387547
180191,01846359,478832
180192,18581928,1775066
180193,02838109,990552
180194,33828139,393185
180195,33828139,419887
180196,02838109,2617124
180197,18539217,1086975
180198,9831829,2345708
180199,33828139,1342859
180200,01846359,50609
180201,01846359,107118
180202,02838109,401956
180203,18581928,664420
180204,06230932,2074995
180205,06230932,2028758
180206,18581928,1542632
180207,9831829,2819365
180208,92019399,855216
180209,02838109,936732
180210,9831829,1026554
180211,06230932,1060258
180212,06230932,592613
180213,18539217,-7761
180214,18581928,950555
180215,92019399,2028098
180216,67821984,2857881
180217,01846359,2731871
180218,02838109,2649698
180219,02838109,2547837
180220,18539217,1990071
180221,67821984,2327896
180222,67821984,1029056
180223,18539217,1839322
180224,92019399,2068490
180225,18581928,2389588
180226,18539217,1577388
180227,33828139,2881947
180228,92019399,1872412
180229,01846359,1830877
180230,01846359,2400733
180231,9831829,130657
180232,02838109,2146256
180233,33828139,1964532
180234,33828139,2810777
180235,18539217,2946732
180236,02838109,2043542
180237,9831829,1165514
180238,06230932,2126312
180239,18539217,932757
180240,02838109,2279327
180241,9831829,234048
180242,92019399,1315833
180243,18539217,32097
180244,67821984,1479990
180245,18539217,2258608
180246,92019399,1058791
180247,01846359,1605218
180248,67821984,2495514
180249,67821984,602652
180250,02838109,1338511
180251,06230932,2874988
180252,18539217,2735994
180253,67821984,1989083
180254,18581928,2711711
180255,9831829,1321591
180256,18539217,626824
180257,67821984,1534350
180258,05159822,-5303
180259,67821984,420464
180260,18539217,1204095
180261,02838109,1855398
180262,18539217,368073
180263,33828139,477214
180264,05159822,583235
180265,06230932,207595
180266,06230932,2976309
180267,67821984,2407049
180268,18539217,2121603
180269,05159822,1450264
180270,18581928,485881
180271,01846359,1649641
180272,02838109,1447292
180273,06230932,2843676
180274,06230932,2664632
180275,18581928,2745136
180276,01846359,356685
180277,9831829,1859475
180278,33828139,371068
180279,18581928,831446
180280,18539217,1202065
180281,02838109,1378146
180282,01846359,2423771
180283,01846359,2834770
180284,18581928,2650593
180285,01846359,602689
180286,18539217,1214345
180287,05159822,2207883
180288,05159822,2165258
180289,18539217,1851163
180290,06230932,2425791
180291,18581928,703624
180292,33828139,1489412
180293,33828139,1240615
180294,02838109,592350
180295,9831829,933478
180296,9831829,1407335
180297,06230932,155712
180298,18539217,2489403
180299,33828139,2199868
180300,02838109,1648467
180301,33828139,2952909
180302,18581928,217211
180303,06230932,1564284
180304,9831829,2992294
180305,01846359,1453972
180306,18581928,1394801
180307,9831829,1469980
180308,33828139,2850338
180309,67821984,2175399
180310,18581928,2353195
180311,18581928,1066852
180312,18581928,160734
180313,33828139,224463
180314,06230932,2957433
180315,18539217,380695
180316,92019399,1742555
180317,06230932,1819603
180318,05159822,2196828
180319,05159822,187741
180320,67821984,1741419
180321,92019399,616135
180322,18581928,2526664
180323,9831829,1354223
180324,05159822,639773
180325,06230932,58136
180326,33828139,2883822
180327,67821984,309677
180328,06230932,450188
180329,05159822,2956830
180330,06230932,1485516
180331,02838109,424080
180332,67821984,1620061
180333,02838109,1808708
180334,9831829,128014
180335,18581928,1243096
180336,9831829,1133408
180337,33828139,1146428
180338,18539217,2132428
180339,9831829,668367
180340,06230932,1684785
180341,05159822,520479
180342,05159822,2365314
180343,9831829,1419283
180344,67821984,602215
180345,06230932,2542733
180346,18581928,1000142
180347,92019399,614525
180348,92019399,1435356
180349,67821984,2340072
180350,02838109,1106166
180351,06230932,2746443
180352,92019399,902165
180353,67821984,1158465
180354,92019399,396143
180355,18581928,2277487
180356,92019399,154708
180357,67821984,2271537
180358,06230932,1553276
180359,9831829,145684
180360,33828139,1164152
180361,01846359,887840
180362,18539217,1561875
180363,02838109,1932202
180364,01846359,2193078
180365,18539217,2044451
180366,18581928,2989139
180367,01846359,1514003
180368,67821984,2609034
180369,05159822,1933444
180370,06230932,870293
180371,33828139,2771665
180372,01846359,943255
180373,18581928,1785617
180374,06230932,1970586
180375,92019399,308983
180376,18539217,2202859
180377,02838109,512845
180378,06230932,35623
180379,9831829,130789
